female,age,edu,income,region,july25,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,23,4,3,Le Kef,2,5,1,1,2,NA,2,NA,2,NA
0,35,6,3,Bizerte,1,1,1,1,2,NA,2,NA,2,NA
0,50,4,3,Medenine,1,1,2,1,1,5,1,8,1,1
0,52,2,3,Sfax,2,1,1,1,2,NA,1,1,1,1
0,50,4,3,Sidi Bou Zid,1,1,2,1,1,3,1,1,1,1
0,44,7,5,Manouba,2,2,5,1,2,NA,1,7,1,1
0,35,3,NA,Nabeul,1,1,5,2,1,1,1,1,1,1
0,32,3,4,Tunis,2,3,1,1,2,NA,2,NA,2,NA
0,54,5,4,Monastir,1,2,2,1,2,NA,2,NA,2,NA
0,28,4,8,Ariana,1,5,1,5,1,1,1,1,2,NA
0,45,4,3,Medenine,2,1,5,1,1,98,1,1,1,1
0,52,4,3,Tunis,98,2,5,2,2,NA,2,NA,2,NA
0,35,4,3,Beja,2,4,5,2,1,6,1,1,1,1
0,29,4,NA,Kairouan,1,5,2,1,2,NA,2,NA,2,NA
0,40,4,4,Siliana,1,1,4,4,2,NA,2,NA,2,NA
0,22,3,3,Medenine,2,1,1,1,1,99,1,1,2,NA
0,36,3,3,Tozeur,1,1,1,5,1,3,98,NA,1,98
0,33,6,3,Sfax,1,5,1,1,2,NA,1,1,1,1
0,25,4,5,Tunis,1,1,5,1,2,NA,2,NA,2,NA
0,40,4,4,Ben Arous,1,1,4,2,1,1,1,1,1,1
0,50,2,3,Tataouine,1,1,1,1,1,5,1,1,1,1
0,33,4,5,Ariana,1,1,5,2,2,NA,2,NA,2,NA
0,40,2,4,Tunis,2,5,5,5,2,NA,1,1,98,NA
0,63,2,4,Beja,2,1,5,5,1,2,1,2,2,NA
0,23,6,2,Bizerte,2,1,1,1,1,5,1,1,1,1
0,38,6,3,Sfax,1,1,1,1,1,98,1,98,1,1
0,45,4,8,Sfax,1,1,1,1,1,7,1,1,1,1
0,18,4,3,Sidi Bou Zid,1,5,5,5,2,NA,2,NA,2,NA
0,67,2,8,Bizerte,1,5,1,1,1,1,2,NA,1,1
0,31,3,2,Zaghouan,1,5,3,3,1,3,1,1,1,1
0,30,4,4,Le Kef,99,1,2,1,2,NA,2,NA,2,NA
0,58,1,2,Bizerte,98,99,1,99,2,NA,2,NA,2,NA
0,27,4,3,Tunis,1,1,1,1,2,NA,1,1,1,1
0,31,4,NA,Monastir,2,5,1,1,2,NA,2,NA,2,NA
0,60,4,3,Monastir,2,4,1,1,2,NA,2,NA,2,NA
0,35,3,3,Nabeul,1,2,1,1,2,NA,2,NA,2,NA
0,60,7,6,Tunis,1,1,5,1,1,3,1,4,2,NA
0,39,2,2,Sidi Bou Zid,1,4,98,5,2,NA,2,NA,2,NA
0,32,7,4,Manouba,2,1,2,5,2,NA,1,1,2,NA
0,31,4,3,Sfax,1,5,1,5,1,99,1,1,1,1
0,33,2,8,Medenine,1,1,2,1,1,7,1,2,1,2
0,40,4,3,Sfax,1,1,1,1,1,5,1,1,1,1
0,24,4,4,Bizerte,1,1,2,5,2,NA,2,NA,2,NA
0,24,6,3,Tunis,2,1,1,1,2,NA,2,NA,2,NA
0,30,5,3,Sfax,2,2,1,1,2,NA,2,NA,1,1
0,45,2,2,Nabeul,1,2,1,1,2,NA,2,NA,2,NA
0,67,4,3,Sfax,99,1,4,1,1,99,1,1,1,1
0,37,5,8,Beja,99,1,2,1,1,99,1,1,1,1
0,46,2,2,Tunis,1,1,1,1,1,1,1,1,1,1
0,47,4,3,Sfax,1,5,1,1,1,1,1,1,1,1
0,33,7,8,Nabeul,1,5,5,1,2,NA,1,1,1,1
0,27,4,2,Siliana,2,2,2,5,2,NA,2,NA,2,NA
0,26,3,3,Sfax,1,2,1,5,2,NA,2,NA,2,NA
0,33,3,4,Nabeul,1,1,1,1,2,NA,2,NA,2,NA
0,32,7,5,Nabeul,2,2,2,1,1,5,1,8,1,1
0,23,3,3,Gabes,1,1,2,1,2,NA,2,NA,2,NA
0,24,3,4,Beja,2,3,1,1,1,1,2,NA,1,1
0,29,6,6,Sidi Bou Zid,1,1,1,1,1,96,1,1,1,1
0,39,4,3,Nabeul,1,1,5,1,2,NA,2,NA,2,NA
0,23,4,4,Tunis,1,1,1,1,2,NA,2,NA,2,NA
0,27,6,4,Medenine,2,2,1,1,1,96,1,1,1,1
0,40,2,NA,Nabeul,1,1,5,4,98,NA,1,98,1,98
0,25,4,3,Bizerte,1,4,1,4,2,NA,2,NA,2,NA
0,36,4,2,Jendouba,1,2,3,1,2,NA,2,NA,2,NA
0,22,4,4,Gabes,2,2,2,1,2,NA,2,NA,2,NA
0,34,2,4,Tataouine,1,3,3,1,2,NA,2,NA,1,1
0,29,3,4,Jendouba,1,2,1,1,2,NA,2,NA,2,NA
0,41,2,3,Gabes,2,1,5,5,1,2,1,1,2,NA
0,31,4,2,Ariana,1,1,2,1,2,NA,2,NA,2,NA
0,40,2,2,Siliana,98,1,5,1,2,NA,2,NA,2,NA
0,58,2,2,Manouba,1,5,1,5,1,1,1,1,1,1
0,29,4,7,Gabes,1,1,5,1,1,2,1,1,1,1
0,34,4,3,Ariana,1,1,1,1,2,NA,1,1,1,1
0,30,7,5,Jendouba,2,1,5,1,1,3,1,10,1,2
0,37,4,5,Jendouba,1,5,5,1,2,NA,1,1,1,1
0,29,7,8,Manouba,1,1,4,1,2,NA,1,1,1,1
0,59,6,8,Manouba,1,2,5,2,1,96,1,1,1,1
0,23,7,7,Manouba,1,1,1,1,2,NA,1,1,1,1
0,30,6,4,Ariana,1,5,1,1,1,99,1,99,1,99
0,30,4,3,Ariana,1,1,4,1,2,NA,2,NA,2,NA
0,28,4,6,Manouba,1,1,1,1,2,NA,2,NA,2,NA
0,37,3,3,Bizerte,98,1,1,1,98,NA,1,1,98,NA
0,38,4,6,Gabes,1,1,1,1,2,NA,2,NA,2,NA
0,51,5,5,Sidi Bou Zid,1,1,1,1,2,NA,1,1,1,1
0,57,4,6,Gafsa,1,1,5,1,1,99,1,1,1,1
0,33,5,6,Tunis,2,5,4,5,2,NA,2,NA,2,NA
0,50,8,7,Kasserine,2,2,2,2,1,99,1,1,1,1
0,56,7,7,Nabeul,1,4,1,1,1,7,1,1,1,1
0,50,7,4,Gafsa,2,1,1,1,1,99,1,99,1,99
0,50,7,8,Sidi Bou Zid,2,1,1,2,1,99,1,99,1,99
0,53,8,8,Sousse,2,1,5,1,1,1,1,1,1,1
0,34,2,3,Sfax,2,5,5,5,2,NA,2,NA,2,NA
0,45,2,4,Ariana,1,5,1,5,2,NA,1,1,1,1
0,37,5,NA,Manouba,1,1,1,1,2,NA,1,1,2,NA
0,52,7,4,Nabeul,1,1,1,1,1,4,1,1,1,1
0,42,8,8,Nabeul,2,4,5,1,1,96,1,10,1,1
0,23,4,8,Monastir,2,4,2,5,2,NA,2,NA,2,NA
0,60,5,6,Beja,1,5,2,2,1,99,1,98,98,NA
0,36,8,6,Ben Arous,1,1,1,1,2,NA,2,NA,2,NA
0,44,4,4,Ben Arous,1,1,2,1,2,NA,1,1,1,1
0,42,2,2,Zaghouan,1,4,1,1,2,NA,1,1,2,NA
0,42,7,4,Kebili,1,1,1,5,2,NA,2,NA,2,NA
0,56,4,3,Ariana,1,2,1,1,1,2,1,2,1,1
0,57,3,4,Ariana,1,1,4,1,1,98,1,1,1,1
0,57,8,7,Monastir,1,1,2,1,1,3,1,1,1,1
0,48,5,4,Jendouba,1,1,1,2,1,4,1,1,1,1
0,31,6,7,Ben Arous,1,1,4,3,2,NA,2,NA,2,NA
0,40,2,4,Mahdia,99,1,1,1,1,99,1,1,1,1
0,35,4,5,Ben Arous,1,2,4,1,2,NA,2,NA,2,NA
0,44,8,8,Bizerte,1,1,2,1,2,NA,2,NA,2,NA
0,53,2,2,Sousse,1,1,1,1,1,1,1,1,1,1
0,52,5,7,Beja,1,1,5,1,2,NA,1,1,1,1
0,52,4,3,Ben Arous,1,2,2,2,1,3,1,1,1,1
0,60,2,2,Manouba,1,2,2,5,1,97,1,1,1,1
0,32,8,4,Sousse,1,1,1,1,1,98,1,1,1,1
0,58,4,3,Bizerte,2,5,5,2,1,3,1,1,1,1
0,49,5,4,Ben Arous,1,2,1,1,2,NA,2,NA,2,NA
0,38,4,4,Bizerte,99,99,99,99,2,NA,2,NA,2,NA
0,52,7,5,Kasserine,1,1,1,1,1,99,1,7,1,1
0,33,4,5,Tunis,98,3,3,3,2,NA,2,NA,2,NA
0,40,3,NA,Ben Arous,2,5,2,5,2,NA,1,11,1,1
0,41,4,4,Ben Arous,2,1,1,1,1,99,1,99,1,99
0,54,5,4,Ariana,1,2,2,2,2,NA,2,NA,2,NA
0,26,4,4,Nabeul,1,1,4,1,2,NA,2,NA,2,NA
0,40,4,NA,Ariana,98,1,1,1,2,NA,2,NA,2,NA
0,52,6,4,Sousse,2,1,5,1,2,NA,2,NA,2,NA
0,35,3,2,Sfax,1,5,1,1,1,99,2,NA,1,1
0,49,6,5,Gafsa,2,2,5,5,2,NA,2,NA,1,99
0,53,7,5,Sfax,1,5,5,1,2,NA,1,1,1,1
0,30,5,3,Gafsa,2,5,5,1,2,NA,2,NA,2,NA
0,45,5,5,Kasserine,1,2,2,1,1,96,1,96,1,1
0,56,4,4,Kairouan,1,1,1,1,2,NA,1,1,1,1
0,41,4,2,Manouba,2,5,1,1,2,NA,2,NA,2,NA
0,51,3,4,Tunis,99,5,1,5,98,NA,2,NA,2,NA
0,50,7,5,Monastir,1,2,5,1,1,96,1,1,1,1
0,36,7,3,Zaghouan,1,1,1,99,2,NA,2,NA,2,NA
0,36,6,4,Tunis,2,5,4,2,2,NA,1,1,1,1
0,38,7,4,Mahdia,2,1,1,1,1,4,1,11,1,1
0,53,7,6,Tozeur,1,1,1,2,1,99,1,96,1,1
0,23,3,4,Tunis,98,1,3,1,2,NA,2,NA,2,NA
0,47,7,7,Sfax,1,2,2,1,1,1,2,NA,1,1
0,47,4,3,Medenine,1,1,1,1,1,1,1,1,1,1
0,50,4,8,Bizerte,1,5,1,5,2,NA,2,NA,2,NA
0,39,7,7,Tunis,1,4,2,1,2,NA,1,1,1,1
0,47,6,6,Le Kef,1,1,1,5,1,98,1,1,1,1
0,56,4,3,Tunis,1,1,1,1,1,3,1,9,1,1
0,52,5,7,Beja,1,1,2,1,1,4,1,1,1,1
0,35,4,4,Bizerte,1,5,3,1,2,NA,2,NA,2,NA
0,45,2,3,Manouba,2,1,2,2,1,1,1,1,1,1
0,33,4,3,Beja,1,1,1,1,2,NA,2,NA,2,NA
0,50,4,5,Tunis,1,1,1,1,1,2,1,1,1,1
0,35,4,3,Kasserine,1,1,1,1,2,NA,2,NA,2,NA
0,44,7,4,Kairouan,1,1,4,1,2,NA,1,1,1,1
0,51,4,7,Tunis,1,99,1,1,2,NA,2,NA,2,NA
0,53,4,4,Jendouba,1,1,1,2,2,NA,2,NA,2,NA
0,53,4,4,Bizerte,1,1,1,1,2,NA,2,NA,2,NA
0,29,4,3,Bizerte,2,2,2,1,1,98,2,NA,2,NA
0,34,3,2,Kasserine,1,1,1,1,2,NA,2,NA,1,1
0,19,3,3,Zaghouan,2,2,1,2,2,NA,2,NA,2,NA
0,28,4,5,Manouba,1,1,4,1,2,NA,2,NA,2,NA
0,37,7,2,Ariana,98,2,1,1,2,NA,1,99,2,NA
1,71,4,5,Ben Arous,1,1,2,1,1,3,1,9,1,2
1,NA,5,8,Monastir,1,1,1,1,1,98,1,98,1,1
1,62,4,2,Manouba,1,1,1,1,1,4,1,1,1,1
1,70,5,7,Tunis,1,5,2,1,1,2,1,2,1,2
1,66,4,3,Siliana,1,2,1,1,1,6,1,1,1,1
1,62,2,3,Sfax,2,5,3,4,2,NA,2,NA,2,NA
1,70,4,NA,Le Kef,1,5,1,1,2,NA,98,NA,98,NA
1,53,6,3,Monastir,1,5,1,5,1,1,1,1,1,1
1,63,7,5,Tunis,1,1,5,1,1,3,1,97,1,97
1,58,2,2,Nabeul,1,5,2,1,2,NA,1,1,2,NA
1,73,4,3,Sfax,1,5,2,1,2,NA,2,NA,2,NA
1,60,1,3,Nabeul,1,3,5,5,2,NA,1,1,2,NA
1,70,4,4,Nabeul,1,1,2,2,1,2,1,1,1,1
1,64,4,4,Medenine,1,1,1,1,1,1,2,NA,2,NA
1,69,5,4,Medenine,98,5,5,1,1,2,1,96,1,2
1,42,4,3,Gafsa,1,5,1,5,1,98,1,2,1,1
1,57,1,NA,Gafsa,2,5,1,1,1,98,1,1,2,NA
1,42,4,2,Ariana,1,2,1,1,2,NA,2,NA,2,NA
1,23,3,3,Monastir,1,4,1,1,2,NA,2,NA,2,NA
1,37,5,4,Nabeul,1,1,1,3,2,NA,2,NA,2,NA
1,33,4,2,Gabes,1,5,1,4,1,98,98,NA,1,1
1,31,7,3,Ariana,2,1,2,1,1,7,1,2,1,2
1,70,1,2,Medenine,1,5,2,4,1,7,2,NA,2,NA
1,56,4,3,Tunis,1,1,1,1,1,1,1,1,1,1
1,39,7,3,Tunis,1,2,2,2,2,NA,1,99,2,NA
1,60,1,2,Siliana,2,1,1,1,98,NA,1,1,2,NA
1,36,3,3,Manouba,1,2,5,1,1,1,1,1,2,NA
1,25,5,7,Sousse,98,1,1,1,1,98,1,1,1,1
1,32,8,5,Nabeul,99,1,5,2,1,99,1,99,1,99
1,68,3,5,Tunis,2,4,5,5,98,NA,1,1,1,1
1,44,4,NA,Jendouba,1,5,1,1,2,NA,2,NA,2,NA
1,30,7,4,Tataouine,98,5,2,1,1,96,1,1,1,1
1,25,8,NA,Tunis,1,3,2,1,2,NA,2,NA,2,NA
1,22,4,3,Ariana,1,5,4,1,2,NA,1,1,1,1
1,35,4,3,Nabeul,1,1,1,1,1,99,1,1,2,NA
1,56,2,2,Beja,1,2,1,1,2,NA,1,1,2,NA
1,42,7,4,Nabeul,2,2,5,1,1,98,1,1,98,NA
1,45,4,4,Ariana,1,5,1,5,1,1,1,1,1,1
1,61,1,NA,Kasserine,1,3,3,5,2,NA,2,NA,2,NA
1,22,2,NA,Kasserine,98,5,1,1,2,NA,2,NA,2,NA
1,75,1,2,Bizerte,1,3,1,98,98,NA,1,98,1,1
1,38,2,2,Sfax,1,2,2,5,2,NA,2,NA,2,NA
1,49,2,NA,Sfax,1,5,1,1,2,NA,1,1,98,NA
1,63,2,2,Jendouba,1,5,5,5,2,NA,1,1,2,NA
1,57,5,4,Ben Arous,2,3,1,1,1,3,1,9,2,NA
1,32,3,4,Tunis,2,1,1,1,1,3,1,99,1,99
1,40,3,1,Kebili,1,5,1,2,1,97,1,1,2,NA
1,33,8,3,Tunis,1,1,2,1,1,1,1,1,1,1
1,51,2,2,Sfax,1,3,4,1,1,6,2,NA,1,1
1,70,1,2,Le Kef,1,98,1,98,2,NA,1,98,2,NA
1,56,2,3,Gabes,1,1,1,1,1,1,1,1,1,1
1,42,2,2,Mahdia,2,1,1,1,1,1,1,9,1,1
1,27,2,3,Bizerte,98,98,98,98,2,NA,2,NA,2,NA
1,40,4,3,Nabeul,2,3,5,1,2,NA,2,NA,2,NA
1,61,2,3,Sousse,2,5,2,5,2,NA,1,2,2,NA
1,62,4,2,Bizerte,1,1,1,1,2,NA,2,NA,2,NA
1,65,4,4,Sfax,2,4,4,4,1,98,1,1,1,1
1,52,2,2,Sfax,1,5,1,2,2,NA,1,1,1,1
1,25,4,2,Beja,2,2,1,1,2,NA,2,NA,2,NA
1,19,4,5,Tunis,1,4,2,1,2,NA,2,NA,2,NA
1,48,5,8,Ben Arous,1,1,1,1,1,6,1,1,1,1
1,39,4,2,Kebili,2,1,1,1,2,NA,2,NA,2,NA
1,42,6,3,Bizerte,98,98,1,2,2,NA,2,NA,2,NA
1,44,2,2,Zaghouan,1,1,2,1,1,3,1,98,1,1
1,43,2,3,Ariana,1,5,5,5,2,NA,2,NA,2,NA
1,50,4,2,Ben Arous,2,2,5,2,2,NA,2,NA,2,NA
1,49,2,2,Bizerte,2,5,1,1,2,NA,2,NA,2,NA
1,36,4,NA,Bizerte,1,1,4,1,2,NA,1,1,1,1
1,24,3,2,Bizerte,98,2,4,1,2,NA,2,NA,2,NA
1,50,1,2,Ariana,98,98,5,98,1,1,1,1,1,1
1,70,4,5,Gabes,1,4,1,1,1,1,1,1,1,1
1,43,6,3,Tozeur,1,2,1,1,1,1,1,1,1,1
1,35,4,3,Gabes,2,1,3,1,2,NA,1,1,2,NA
1,42,2,2,Kasserine,1,1,5,4,2,NA,2,NA,2,NA
1,29,3,2,Medenine,2,1,3,4,2,NA,2,NA,2,NA
1,33,4,3,Gafsa,1,1,1,1,2,NA,2,NA,2,NA
1,27,7,4,Kasserine,2,1,3,1,2,NA,2,NA,2,NA
1,38,7,4,Sidi Bou Zid,1,1,3,1,2,NA,2,NA,1,1
1,55,4,5,Bizerte,2,1,1,5,2,NA,1,1,1,1
1,70,4,NA,Sfax,1,2,2,4,1,4,1,1,1,1
1,38,4,3,Sidi Bou Zid,1,1,1,1,1,98,2,NA,1,1
1,45,4,3,Monastir,1,1,2,1,2,NA,2,NA,1,99
1,33,4,3,Nabeul,2,2,2,1,1,2,1,1,1,1
1,53,2,2,Ben Arous,1,2,2,2,1,2,1,1,1,1
1,50,4,3,Ben Arous,1,1,1,1,1,1,2,NA,1,1
1,35,1,2,Kairouan,98,98,98,98,2,NA,98,NA,98,NA
1,71,2,NA,Nabeul,1,3,2,3,2,NA,2,NA,2,NA
1,56,4,2,Sfax,1,1,1,1,1,4,1,1,1,1
1,50,4,3,Sfax,98,1,2,2,2,NA,2,NA,2,NA
1,41,2,5,Tataouine,1,1,2,5,2,NA,2,NA,2,NA
1,36,4,3,Nabeul,2,1,4,1,2,NA,1,2,1,2
1,48,1,2,Beja,1,5,4,3,2,NA,2,NA,1,1
1,38,2,3,Sousse,2,4,1,5,2,NA,2,NA,2,NA
1,60,2,4,Ben Arous,2,5,1,1,2,NA,1,11,2,NA
1,40,8,7,Gafsa,1,2,2,1,1,99,1,99,1,99
1,40,3,3,Manouba,1,1,1,1,1,96,1,1,1,1
1,39,1,1,Kasserine,1,3,4,2,2,NA,2,NA,2,NA
1,72,2,1,Bizerte,98,1,1,1,2,NA,2,NA,2,NA
1,61,5,3,Bizerte,1,2,98,1,2,NA,2,NA,2,NA
1,26,4,3,Gafsa,98,1,5,1,1,1,1,1,1,1
1,56,2,NA,Ben Arous,99,1,1,1,2,NA,1,1,1,1
1,36,4,3,Kairouan,1,1,5,1,1,97,1,1,1,1
1,28,1,2,Jendouba,98,2,2,2,2,NA,2,NA,2,NA
1,39,3,NA,Mahdia,2,3,2,1,98,NA,2,NA,2,NA
1,50,3,3,Kairouan,1,1,98,1,1,98,1,1,98,NA
1,61,3,3,Gafsa,1,1,3,1,1,96,1,11,1,1
1,70,2,3,Gafsa,98,5,1,1,1,3,1,2,1,2
1,58,4,2,Manouba,1,1,1,1,2,NA,1,1,2,NA
1,32,4,3,Mahdia,1,5,2,1,1,98,1,7,2,NA
1,66,1,NA,Ariana,1,1,1,1,2,NA,2,NA,2,NA
1,43,4,4,Ben Arous,2,1,2,1,1,1,1,1,1,1
1,35,4,NA,Gabes,1,99,2,5,1,98,1,1,1,1
1,63,1,2,Tunis,1,1,1,1,2,NA,2,NA,2,NA
1,46,3,2,Sfax,2,1,1,2,2,NA,2,NA,2,NA
1,40,5,3,Tataouine,1,1,1,1,1,97,1,1,1,1
1,45,4,3,Sfax,1,1,1,1,1,6,1,1,1,1
1,58,2,2,Manouba,1,5,1,1,2,NA,1,1,1,1
1,52,2,NA,Tunis,98,5,1,5,1,1,1,3,1,1
1,34,1,8,Kairouan,2,2,2,2,2,NA,2,NA,2,NA
1,41,2,2,Sfax,1,2,2,5,2,NA,2,NA,2,NA
1,45,4,NA,Medenine,1,1,5,1,2,NA,1,2,2,NA
1,43,2,3,Bizerte,2,5,5,1,2,NA,2,NA,2,NA
1,22,3,2,Medenine,2,5,5,5,2,NA,2,NA,2,NA
1,35,4,3,Kairouan,1,1,2,2,1,3,1,1,1,1
1,31,4,3,Manouba,1,2,1,1,1,3,1,1,1,1
1,36,3,3,Medenine,1,3,2,1,1,7,2,NA,1,1
1,37,2,2,Kasserine,1,5,1,1,1,2,1,2,1,1
1,38,5,3,Kebili,1,1,2,1,1,6,1,1,1,1
1,63,2,3,Gafsa,98,5,1,1,1,3,1,1,1,1
1,26,4,3,Ben Arous,1,1,5,1,2,NA,2,NA,2,NA
1,39,6,3,Medenine,1,1,1,1,2,NA,2,NA,2,NA
1,25,4,2,Tunis,1,4,1,5,2,NA,2,NA,2,NA
1,66,4,2,Sfax,1,2,1,1,1,1,1,1,1,1
1,27,3,4,Sousse,2,1,2,1,2,NA,1,1,1,1
1,58,2,NA,Mahdia,1,1,2,2,1,2,1,1,1,1
1,67,4,2,Gabes,1,1,1,2,2,NA,1,6,1,1
1,44,2,3,Gabes,98,2,1,1,1,7,1,1,1,1
1,60,1,4,Gabes,2,98,5,1,2,NA,1,11,2,NA
1,60,2,2,Gabes,1,1,1,1,1,2,1,2,2,NA
1,34,2,2,Kairouan,1,3,4,2,2,NA,2,NA,2,NA
1,60,1,2,Sfax,1,98,2,2,2,NA,2,NA,2,NA
1,48,1,3,Gabes,2,1,5,5,1,1,2,NA,2,NA
1,33,1,2,Siliana,1,5,98,1,1,7,2,NA,2,NA
1,58,2,3,Gabes,98,4,1,1,2,NA,2,NA,2,NA
1,28,4,3,Kairouan,2,5,1,5,2,NA,2,NA,2,NA
1,50,1,2,Kairouan,98,5,2,5,2,NA,2,NA,2,NA
1,53,2,3,Gabes,2,2,4,2,1,98,1,1,1,1
1,27,5,3,Gafsa,1,1,2,1,2,NA,2,NA,2,NA
1,54,1,1,Kairouan,2,5,3,3,2,NA,2,NA,2,NA
1,35,2,1,Kairouan,1,5,1,5,2,NA,2,NA,2,NA
1,25,4,2,Kairouan,1,2,2,1,2,NA,1,1,1,1
1,56,1,2,Kairouan,98,2,5,1,2,NA,2,NA,2,NA
1,54,2,1,Le Kef,1,1,2,1,1,2,1,1,2,NA
1,31,2,NA,Sidi Bou Zid,98,5,1,98,2,NA,2,NA,2,NA
1,43,2,NA,Kairouan,1,5,5,1,2,NA,2,NA,2,NA
1,47,2,2,Kairouan,98,2,1,1,2,NA,2,NA,2,NA
1,27,5,NA,Nabeul,1,5,4,4,1,5,1,11,2,NA
1,24,4,NA,Nabeul,2,3,2,2,2,NA,1,1,1,1
1,75,2,3,Nabeul,1,2,1,1,1,7,2,NA,2,NA
1,73,4,4,Nabeul,1,2,2,1,1,96,1,1,1,1
1,50,2,2,Jendouba,98,5,1,4,98,NA,98,NA,2,NA
1,60,1,2,Jendouba,1,2,4,2,2,NA,2,NA,2,NA
1,56,4,3,Jendouba,99,3,3,3,1,99,1,1,1,1
1,60,1,2,Jendouba,1,99,1,5,1,98,1,1,2,NA
1,40,2,1,Jendouba,98,2,4,5,2,NA,2,NA,2,NA
1,30,4,2,Mahdia,1,1,2,1,1,3,1,1,2,NA
1,27,3,3,Medenine,1,1,1,5,2,NA,2,NA,2,NA
1,54,2,3,Mahdia,1,2,2,5,1,1,1,1,1,1
1,60,2,2,Jendouba,2,5,2,2,2,NA,1,1,2,NA
1,58,1,2,Mahdia,98,98,98,2,1,2,1,2,1,2
1,60,1,2,Jendouba,1,5,1,5,2,NA,1,1,1,1
1,40,7,1,Tataouine,1,5,5,5,2,NA,2,NA,2,NA
1,24,3,2,Medenine,2,1,4,1,2,NA,2,NA,2,NA
1,27,3,2,Mahdia,1,1,2,1,2,NA,2,NA,2,NA
